https://github.com/theopolis/smc-fuzzer with tiny changes

*val.bytes: 0xed010000
*val.bytes: 0x1ed
num: 1ed (4)
  #KEY  [ui32]  237 (bytes 00 00 01 ed)
  PCPL  [sp87]  (bytes 16 80)
  PCPT  [sp87]  (bytes 01 fd)
  PDTR  [sp87]  (bytes 08 56)
  PG0C  [sp78]  (bytes 00 00)
  PG0R  [sp87]  (bytes 00 07)
  PG1C  [sp78]  (bytes 00 00)
  PG2C  [sp78]  (bytes 00 00)
  PG3C  [sp78]  (bytes 00 00)
  PHDC  [sp78]  (bytes 00 24)
  PHPC  [sp87]  (bytes 02 32)
  PHSC  [sp78]  (bytes 00 00)
  PLDC  [sp87]  (bytes 00 00)
  PM0R  [sp78]  (bytes 00 97)
  PN0R  [sp78]  (bytes 00 00)
  PO0R  [sp87]  (bytes 02 5d)
  PPBR  [sp96]  (bytes 00 f1)
  PSBC  [sp87]  (bytes 01 02)
  PSTR  [sp87]  (bytes 08 c0)
  PTHC  [sp87]  (bytes 21 00)
  PZ0E  [sp87]  (bytes 21 00)
  PZ0F  [sp87]  (bytes 03 00)
  PZ0R  [sp87]  (bytes 03 00)
  PZ1E  [sp87]  (bytes 16 80)
  PZ1F  [sp87]  (bytes 00 08)
  PZ1R  [sp87]  (bytes 00 08)
  PZ2E  [sp87]  (bytes 1a 80)
  PZ2F  [sp87]  (bytes 00 08)
  PZ2R  [sp87]  (bytes 00 08)
  PZ3E  [sp87]  (bytes 06 c0)
  PZ3F  [sp87]  (bytes 00 00)
  PZ3R  [sp87]  (bytes 00 00)
  RBr   [ch8*]  (bytes 64 32 00 00 00 00 00 00)
  REV   [{rev]  (bytes 02 03 0f 00 00 36)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 64 32 00 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 02 03 0f 00 00 28)
  RVCR  [{rev]  (bytes 02 03 0f 00 00 36)
  RVUF  [{rev]  (bytes 02 03 0f 00 00 28)
  SAS!  [hex_]  (bytes 00 ff ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 02 00)
  SBFE  [flag]  (bytes 01)
  SBFL  [hex_]  (bytes 00 00 02 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 04 00)
  SBFV  [hex_]  (bytes 00 00 05 ff)
  SBS!  [ui16]  0 (bytes 00 00)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCIB  [ui32]  0 (bytes 00 01 c2 00)
  SCII  [ui8 ]  3 (bytes 03)
  SCIL  [ui8 ]  0 (bytes 00)
  SCXC  [sp78]  (bytes 69 00)
  SFBR  [ui8 ]  4 (bytes 04)
  SGTC  [ui16]  26 (bytes 0c 1a)
  SGTR  [ui8 ]  0 (bytes 00)
  SIS!  [hex_]  (bytes 00 00 00 00)
  SMBC  [ch8*]  (bytes 00 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SPDO  [ui8 ]  1 (bytes 01)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  (bytes 00)
  SPT!  [hex_]  (bytes 00)
  SPU!  [hex_]  (bytes 00 00 00 00)
  SPV!  [hex_]  (bytes 00 00 00 00)
  SRS!  [hex_]  (bytes 00 00 00 00)
  SRT!  [hex_]  (bytes 00 00 00 00)
  SWER  [hex_]  (bytes 00)
  TB0T  [sp78]  (bytes 1e 66)
  TB1T  [sp78]  (bytes 1e 66)
  TB2T  [sp78]  (bytes 1d 33)
  TC0E  [sp78]  (bytes 2a a3)
  TC0F  [sp78]  (bytes 2d 1c)
  TC0P  [sp78]  (bytes 24 20)
  TC1C  [sp78]  (bytes 2b 00)
  TC2C  [sp78]  (bytes 2b 00)
  TC3C  [sp78]  (bytes 2b 00)
  TC4C  [sp78]  (bytes 2b 00)
  TCFC  [ui16]  32 (bytes 00 20)
  TCGC  [sp78]  (bytes 2a 00)
  TCSA  [sp78]  (bytes 27 00)
  TCTD  [sp78]  (bytes 00 07)
  TCXC  [sp78]  (bytes 2a 24)
  TG0D  [sp78]  (bytes 24 e0)
  TG0P  [sp78]  (bytes 23 80)
  TG1D  [sp78]  (bytes 81 00)
  TG1F  [sp78]  (bytes 81 00)
  TG1d  [sp78]  (bytes 81 00)
  TH0A  [sp78]  (bytes 20 e0)
  TH0B  [sp78]  (bytes 21 e0)
  TH0V  [sp78]  (bytes 20 37)
  TH0a  [sp78]  (bytes 20 e0)
  TH0b  [sp78]  (bytes 21 e0)
  TH0c  [sp78]  (bytes 81 00)
  TH0x  [sp78]  (bytes 21 e0)
  TM0P  [sp78]  (bytes 28 20)
  TM0S  [sp78]  (bytes 26 4b)
  TMBS  [sp78]  (bytes 26 00)
  TP0P  [sp78]  (bytes 29 e0)
  TPCD  [sp78]  (bytes 2e 00)
  TS0D  [sp78]  (bytes 81 00)
  TS0P  [sp78]  (bytes 81 00)
  TS1D  [sp78]  (bytes 81 00)
  TS1P  [sp78]  (bytes 81 00)
  TW0P  [sp78]  (bytes 24 80)
  Ta0P  [sp78]  (bytes 1e a0)
  TaSP  [sp78]  (bytes 1e a0)
  Th1H  [sp78]  (bytes 22 20)
  Th2H  [sp78]  (bytes 22 00)
  Ts0P  [sp78]  (bytes 1d 20)
  Ts0S  [sp78]  (bytes 1e f4)
  Ts1S  [sp78]  (bytes 1f ef)
  UBDC  [flag]  (bytes 00)
  UFIS  [ui32]  0 (bytes 00 00 00 00)
  UPRC  [ui16]  1 (bytes 00 01)
  URPP  [ui32]  51 (bytes 00 00 00 33)
  URWD  [ui32]  0 (bytes 00 00 00 00)
  USR3  [ui32]  207 (bytes 00 3b bf cf)
  VBLC  [sp69]  (bytes 5b c6)
  VBLc  [ui16]  219 (bytes 09 db)
  VC0C  [sp1e]  (bytes 2b fe)
  VC0c  [ui16]  252 (bytes 04 fc)
  VC2C  [sp2d]  (bytes 19 b1)
  VC2c  [ui16]  230 (bytes 03 e6)
  VCRP  [sp78]  (bytes 00 00)
  VD0R  [sp5a]  (bytes 52 0e)
  VD0r  [ui16]  159 (bytes 0e 9f)
  VG0C  [sp1e]  (bytes 00 00)
  VN0C  [sp1e]  (bytes 01 03)
  VP0R  [sp4b]  (bytes 63 fa)
  VP0r  [ui16]  27 (bytes 0a 1b)
  WCPD  [ui8 ]  0 (bytes 00)
  WCPW  [ui8 ]  0 (bytes 00)
  WKEN  [ui8 ]  0 (bytes 00)
  WKTP  [ui8 ]  0 (bytes 00)
  WOr0  [si8 ]  (bytes ff)
  WOw0  [si8 ]  (bytes ff)
  ZP0D  [si16]  (bytes 13 88)
  ZP1D  [si16]  (bytes 13 88)
  ZP2D  [si16]  (bytes 00 fa)
  ZP3D  [si16]  (bytes 00 fa)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
  zRST  [ui8 ]  (bytes 00)
